"schema_name","table_name","columns"
dbo,Apt_Assign_Private_Teacher_tb,5
dbo,Ast_Assign_Semiprivate_Teacher_tb,5
dbo,Atc_Attachment_tb,5
dbo,Adc_Administrative_Account_tb,5
dbo,bps_new_units,5
dbo,Ext_External_Event_tb,5
dbo,Fsa_Flow_Step_Action_tb,5
dbo,Fls_Flow_Step_tb,5
dbo,Kpb_Knl_Plan_Budget_tb,5
dbo,Lbr_Library_Product_tb,5
dbo,Ipkt_KnowledgeAreas_Translation_tb,5
dbo,Kao_Knl_Plan_Activity_Other_Resource_tb,5
dbo,Lng_Language_tb,5
dbo,Llr_Lesson_Learned_Rating_tb,5
dbo,Lst_Logistic_Estimation_Item_tb,5
dbo,Obs_Outcome_Budget_Subcategory_tb,5
dbo,Occ_Outcome_Cost_Category_tb,4
dbo,Obc_Outcome_Budget_Category_tb,4
dbo,Lnl_Language_Level_tb,4
dbo,Loc_Location_tb,4
dbo,Lgc_Language_Category_tb,4
dbo,Ipct_IndesProgramCompetencies_Translation_tb,4
dbo,Iprt_Program_Translation_tb,4
dbo,knl_portal_tb,4
dbo,knlPortalServices_out_oear_tb,4
dbo,Flw_Flow_tb,4
dbo,Fsl_Flow_Step_Language_tb,4
dbo,Gel_Guest_Email_Log_tb,4
dbo,Indes_Related_Courses_tb,4
dbo,Gst_Guest_tb,4
dbo,Ifc_Interface_tb,4
dbo,Imp_Importation_History_tb,4
dbo,Fll_Flow_Language_tb,4
dbo,Cel_Cell_Phone_tb,4
dbo,Aao_Available_Activity_Outcome_tb,4
dbo,Opl_Opus_Language_tb,4
dbo,Spp_Semiprivate_Person_tb,4
dbo,Sts_Scheduled_Tasks_Status_tb,4
dbo,Sac_Source_Of_Funding_Account_tb,4
dbo,Sct_Self_Learning_Certificate_tb,4
dbo,Sec_Section_tb,4
dbo,Ses_Sessions_tb,4
dbo,Rrl_Region_Relationship_tb,4
dbo,Tag_Taxonomy_Group_tb,4
dbo,Tal_Taxonomy_Language_tb,4
dbo,Tca_Ticket_Attachment_tb,4
dbo,Tec_Technical_Cooperation_tb,4
dbo,Lsn_Language_Student_Need_tb,4
dbo,Trs_Terms_of_Reference_Responsible_tb,4
dbo,Udi_Unplanned_Deliverable_Budget_Item_tb,4
dbo,UTT_UNIT_TEMPORARY_TB,4
dbo,Wlc_Worklocation_Country_tb,3
dbo,Tom_Topics_Outcome_Metadata_tb,3
dbo,Tjf_Title_Job_Family_Matriz,3
dbo,Tax_Taxonomy_tb,3
dbo,Rsl_Service_Individual_Language_tb,3
dbo,Rgn_Region_tb,3
dbo,Sis_Sign_In_Sheet_tb,3
dbo,Aaa_Available_Administrative_Account_tb,3
dbo,Ifa_Interface_Action_tb,3
dbo,Grp_Group_tb,3
dbo,Isp_Invoice_Semiprivate_tb,3
dbo,Iva_Invoice_Assessment_tb,3
dbo,Ivo_Invoice_Other_tb,3
dbo,Ivp_Invoice_Private_tb,3
dbo,Llk_Lessons_Learned_Keywords_tb,3
